Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.D1,"urn:cite:hmt:vaimg.VA156RN-0327@0.2533,0.2179,0.0811,0.0113",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D2,"urn:cite:hmt:vaimg.VA156RN-0327@0.4124,0.2742,0.041,0.0128",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D3,"urn:cite:hmt:vaimg.VA156RN-0327@0.5536,0.281,0.037,0.009",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D4,"urn:cite:hmt:vaimg.VA156RN-0327@0.4975,0.3959,0.1161,0.0105",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D5,"urn:cite:hmt:vaimg.VA156RN-0327@0.2012,0.408,0.0821,0.0135",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D6,"urn:cite:hmt:vaimg.VA156RN-0327@0.3433,0.5252,0.0511,0.009",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D7,"urn:cite:hmt:vaimg.VA156RN-0327@0.2112,0.5995,0.0591,0.0113",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msAil.hmt:12.D8,"urn:cite:hmt:vaimg.VA160VN-0662@0.577,0.2378,0.094,0.0128",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D9,"urn:cite:hmt:vaimg.VA160VN-0662@0.689,0.2386,0.046,0.0105",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D10,"urn:cite:hmt:vaimg.VA160VN-0662@0.826,0.2341,0.062,0.0143",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D11,"urn:cite:hmt:vaimg.VA160VN-0662@0.72,0.2581,0.03,0.012",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D12,"urn:cite:hmt:vaimg.VA160VN-0662@0.512,0.3721,0.061,0.0083",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D13,"urn:cite:hmt:vaimg.VA160VN-0662@0.563,0.4299,0.059,0.009",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D14,"urn:cite:hmt:vaimg.VA160VN-0662@0.777,0.4299,0.049,0.0105",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D15,"urn:cite:hmt:vaimg.VA160VN-0662@0.715,0.4666,0.076,0.0098",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D16,"urn:cite:hmt:vaimg.VA160VN-0662@0.777,0.4854,0.127,0.009",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D17,"urn:cite:hmt:vaimg.VA160VN-0662@0.583,0.5026,0.029,0.009",urn:cite:hmt:msA.160v
urn:cts:greekLit:tlg5026.msAil.hmt:12.D18,"urn:cite:hmt:vaimg.VA160VN-0662@0.857,0.5401,0.039,0.009",urn:cite:hmt:msA.160v
